Feature,Importance,Model,Run
MajorAxisLength,-0.059021463876931,LogisticRegression,run_9
MinorAxisLength,-0.0991862710214256,LogisticRegression,run_9
Eccentricity,-0.0004158798354681,LogisticRegression,run_9
ConvexArea,-0.0003619285679932,LogisticRegression,run_9
Extent,-0.0006486914975838,LogisticRegression,run_9
Perimeter,0.0329654648229607,LogisticRegression,run_9
Area,0.1424888917215047,RandomForestClassifier,run_9
MajorAxisLength,0.2448586717975253,RandomForestClassifier,run_9
MinorAxisLength,0.0790541047564353,RandomForestClassifier,run_9
Eccentricity,0.0804683919558313,RandomForestClassifier,run_9
ConvexArea,0.122667785130958,RandomForestClassifier,run_9
Extent,0.0685327965481304,RandomForestClassifier,run_9
Perimeter,0.2619293580896149,RandomForestClassifier,run_9
Area,-0.1504037827253341,SVC,run_5
MajorAxisLength,-44.59129300968221,SVC,run_5
MinorAxisLength,-167.77950578443864,SVC,run_5
Eccentricity,0.057553152443224,SVC,run_5
ConvexArea,0.6048939400352538,SVC,run_5
Extent,-0.206976933671708,SVC,run_5
Perimeter,29.426769296383213,SVC,run_5
Area,-0.0004318140594047,LogisticRegression,run_5
MajorAxisLength,0.0177011285512238,LogisticRegression,run_5
MinorAxisLength,-0.0311958001495304,LogisticRegression,run_5
Eccentricity,2.159670405195972e-05,LogisticRegression,run_5
ConvexArea,0.0005728458112913,LogisticRegression,run_5
Extent,-7.651907167177797e-05,LogisticRegression,run_5
Perimeter,-0.0111537234682306,LogisticRegression,run_5
Area,0.130306394250452,RandomForestClassifier,run_5
MajorAxisLength,0.2443703194593046,RandomForestClassifier,run_5
MinorAxisLength,0.0803737715523575,RandomForestClassifier,run_5
Eccentricity,0.0869315201719611,RandomForestClassifier,run_5
ConvexArea,0.1280835237645162,RandomForestClassifier,run_5
Extent,0.0615160009549001,RandomForestClassifier,run_5
Perimeter,0.2684184698465081,RandomForestClassifier,run_5
Area,-0.7666313019581139,SVC,run_13
MajorAxisLength,-29.63361038618564,SVC,run_13
MinorAxisLength,-129.11155960407712,SVC,run_13
Eccentricity,0.0607651396951893,SVC,run_13
ConvexArea,1.017370481509715,SVC,run_13
Extent,-0.1624822453946783,SVC,run_13
